"id","sp_id","user_id","review","rating"
"67971397-5229-4bfd-944b-8e7f6cf8e04a","351599a8-0406-4433-8df9-80f85a8ccddc",DF0qe2AVtHbSuI4GSNq5BS5kVi63,Kerjasama ini membuat saya merasa puas dan senang. Terima kasih atas tim yang luar biasa!,5
"7df09d91-916e-4ba7-ba29-2b66ab7c108c",d6f26b2e-2f8a-40a2-8634-543e6d3adc6a,JM0ACCkdDldG95EFbDG6r8hTM8q2,"Meskipun ada beberapa hambatan, namun semangat positif dan komitmen perusahaan ini membuat segalanya menjadi lebih mudah.",2
aae87f70-1fc1-49e6-8b5f-e17dabcbf58e,c989daa8-0cb6-48fd-b633-8312e051a90c,NgNDTSxKEeV4nzODnak4iOGp6pu1,Kejutan menyenangkan dari perusahaan ini membuat saya merasa diperhatikan dan dihargai.,4
"99a72714-f8a7-4497-ab44-694ef9296d0a","8766b5d4-3043-4dde-954e-7f84ffde384f",gb6V5uGeZSSrGwWlpKS1d6BXv242,Kerjasama ini penuh dengan perasaan positif dan semangat. Saya tidak sabar untuk melihat apa yang akan terjadi selanjutnya.,2
"28b0ef94-74e2-4d4f-a255-2cafba3dd0e1",f0baf0dc-1338-4096-8457-47476bcf6bc8,DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Beberapa masalah muncul, namun respons cepat dan solusi yang diberikan membuat semuanya menjadi lebih baik.",3
cef6b211-932f-4602-8944-6e771b45d054,"073075d1-1c5f-4477-badc-517c26d11bff",gb6V5uGeZSSrGwWlpKS1d6BXv242,"Saat-saat sulit tidak bisa dihindari, namun perusahaan ini memberikan dukungan yang sangat diperlukan. Saya merasa aman.",1
"8f58dcd9-1b19-4931-9f81-a2e342fac7df","7c2531fe-5bc9-403c-b323-b21b3749bdf8",y4TOqSFLXtacjUX7MMsxH8XT0D03,"Saya merasa tertantang, tetapi di akhir hari, hasil kerjasama ini membuat saya sangat bahagia.",1
efc5242d-945d-4aa5-acb6-dd24f9b26a6c,"74363d81-69c2-426b-863f-a45a501e5413",y4TOqSFLXtacjUX7MMsxH8XT0D03,"Kami melalui beberapa tantangan bersama, namun hasil kerjasama ini sungguh membanggakan. Sukses terus!",1
b650cc19-d5a8-4a72-8387-2dc39c02e2d5,d0c05936-be4a-47cd-9be4-c173a1fe4013,OFt6HkGGNcfL1TXYmOxbHr01cxT2,"Kami melalui beberapa tantangan bersama, namun hasil kerjasama ini sungguh membanggakan. Sukses terus!",5
a056859f-315f-4475-90c9-ce93861a6d64,"19b77b1a-df2b-4c11-9854-33999ec41565",DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Ada momen ketegangan, tetapi kerjasama ini membuktikan bahwa perusahaan ini dapat mengatasi segala tantangan dengan baik.",4
"9c6df5be-6245-4c9b-b4e4-171c5ed82278",ccf8b7a7-a704-45e8-871f-00e9d2a1a10e,OFt6HkGGNcfL1TXYmOxbHr01cxT2,Keberanian perusahaan ini dalam mengambil risiko membuat saya bangga menjadi bagian dari kerjasama ini.,2
"88fe7c22-915d-4f65-8caf-eac1eb0e9bf1","55584e8e-13ed-432d-8801-5c388c5295b4",gb6V5uGeZSSrGwWlpKS1d6BXv242,Saya merasa sangat dihargai sebagai mitra kerjasama. Ini membuat saya merasa lebih percaya diri.,1
"4d653c01-9253-4709-bfdc-2af1b8ef47be","78229c8d-fded-45cc-9dd1-725584187c9d",DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Ada momen ketegangan, tetapi kerjasama ini membuktikan bahwa perusahaan ini dapat mengatasi segala tantangan dengan baik.",4
b3ebc68b-821a-4405-91dd-c5b76314f4b3,"1b8d8f9a-82bb-4101-bb04-0d4311716812",OFt6HkGGNcfL1TXYmOxbHr01cxT2,"Ada momen ketegangan, tetapi kerjasama ini membuktikan bahwa perusahaan ini dapat mengatasi segala tantangan dengan baik.",4
"49f9c2be-d288-409e-9698-1858f45e0c0b",bdf82a19-beb9-4b06-95ed-949ee7812033,JM0ACCkdDldG95EFbDG6r8hTM8q2,"Saat-saat sulit tidak bisa dihindari, namun perusahaan ini memberikan dukungan yang sangat diperlukan. Saya merasa aman.",3
"85b6cee5-111a-400b-a7ed-16d47b69da6c",e1435783-4693-426a-84a7-10ecb3799f90,y4TOqSFLXtacjUX7MMsxH8XT0D03,"Beberapa masalah muncul, namun respons cepat dan solusi yang diberikan membuat semuanya menjadi lebih baik.",2
c5ebb322-6942-4c05-9e53-e67bf6b59db1,"0fc5680a-a1ea-44f4-a465-32f69110d06f",DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Saat kami berada dalam kesulitan, perusahaan ini memberikan dukungan moral yang membuat hati kami hangat.",1
cac72493-ad34-433c-813b-458511ad5fe5,e1435783-4693-426a-84a7-10ecb3799f90,NgNDTSxKEeV4nzODnak4iOGp6pu1,"Terkadang ada perbedaan pendapat, namun perusahaan ini selalu mencari cara untuk mencapai kesepakatan yang saling menguntungkan.",2
ccd5bbce-36f8-4d53-94db-e3a36dc5b954,"20c4de90-4583-4ec1-bb00-b7f91a416716",gb6V5uGeZSSrGwWlpKS1d6BXv242,"Ada rasa khawatir saat memulai kerjasama, namun semua ketakutan itu hilang ketika melihat dedikasi dan profesionalisme perusahaan ini.",5
"16c251a9-2428-49ce-929f-e3459c112cec","17c2ba9d-12d6-4e71-ba3c-34ddb4676816",DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Kami melalui beberapa tantangan bersama, namun hasil kerjasama ini sungguh membanggakan. Sukses terus!",2
"3b5b4774-46dc-4e66-9a6c-789a17e388e7","0b5276a9-11be-49a3-9f56-3fda151f7f21",NgNDTSxKEeV4nzODnak4iOGp6pu1,"Saat-saat sulit tidak pernah terelakkan, tetapi perusahaan ini selalu ada untuk memberikan dukungan dan solusi.",1
e8e61e79-2f90-4c41-a0c4-797474869619,"38f046e5-67a5-4545-893c-2ecc9d93b4f0",OFt6HkGGNcfL1TXYmOxbHr01cxT2,Saya merasa terharu dengan dukungan yang diberikan oleh perusahaan ini. Mereka sungguh peduli terhadap kesuksesan kami.,2
"267ed666-0222-4646-9761-e9068bf6669b","1dcae8b6-981c-45f1-aaae-34245bed57fc",DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Saya merasa tertantang, tetapi di akhir hari, hasil kerjasama ini membuat saya sangat bahagia.",4
"78067063-14bd-4285-866d-9655ca0d8354","5e3d8bf8-8156-44ee-acf8-d2900344a8a2",NgNDTSxKEeV4nzODnak4iOGp6pu1,Kerjasama ini membuat saya merasa puas dan senang. Terima kasih atas tim yang luar biasa!,4
f8031c55-8f1c-4f97-8afe-c3d7a5098046,"739a78a6-32c7-4078-affa-4ecfb624e381",y4TOqSFLXtacjUX7MMsxH8XT0D03,Kerjasama ini membuat saya merasa puas dan senang. Terima kasih atas tim yang luar biasa!,3
"65a40338-193b-4c8d-b0b3-b7c91a5548ae","37053e35-b0a4-4fca-a971-0901d33e1cec",OFt6HkGGNcfL1TXYmOxbHr01cxT2,"Kami melalui beberapa tantangan bersama, namun hasil kerjasama ini sungguh membanggakan. Sukses terus!",5
"2c305d83-3156-4cd8-8abf-6be045f6c1b3",cae80d5c-ab95-4918-bc81-232cc5a25c9d,JM0ACCkdDldG95EFbDG6r8hTM8q2,"Terkadang ada perbedaan pendapat, namun perusahaan ini selalu mencari cara untuk mencapai kesepakatan yang saling menguntungkan.",2
"045c1699-b779-4ba1-a5b4-5888e956e374","9d869cec-d0e8-43bf-9538-2ecafda89e18",JM0ACCkdDldG95EFbDG6r8hTM8q2,"Beberapa masalah muncul, namun respons cepat dan solusi yang diberikan membuat semuanya menjadi lebih baik.",1
c882c3fa-0ec8-4bd9-96bb-1edbbbb0e844,"236031e8-583a-46e8-978d-9917efc7e961",gb6V5uGeZSSrGwWlpKS1d6BXv242,Kejutan menyenangkan dari perusahaan ini membuat saya merasa diperhatikan dan dihargai.,5
