"id","mp_id","user_id","review","rating"
ca700161-b633-447e-997d-d0357ee7c953,fab386a6-be2d-4a4b-ab96-ed39206594c6,V5FgAoGjkTMTDn7QeVLop58t1XR2,Kegembiraan melanda setiap kali bekerja dengan media partner ini. Mereka tidak hanya memberikan hasil yang memuaskan tetapi juga menciptakan lingkungan kerja yang positif.,5
adebe68d-bf49-4770-a193-12e5271dde79,"140cc6c3-f66f-45f3-b920-2b2a16b966ac",gb6V5uGeZSSrGwWlpKS1d6BXv242,Saya merasa sangat takut dengan tidak terduga dari media partner ini. Mereka tidak konsisten dan seringkali membuat perubahan tanpa memberikan pemberitahuan yang cukup.,1
a4711588-8242-458e-afa2-75cf8dc5a113,b314fec8-8f8d-4eba-9fc1-2f7d917af659,XjcC8RP2v5eWNy1dnjfjVWozs1r1,Kerja sama dengan media partner ini membuat saya merasa sangat sedih. Mereka tidak menghargai kontribusi tim kami dan seringkali mengecewakan dengan hasil akhirnya.,2
"1bdeefc9-20c6-42c9-b8bc-ea299feb8a0d","25d783dd-865b-4b28-8a18-06c6bcedf9b2",DF0qe2AVtHbSuI4GSNq5BS5kVi63,Rasa marah saya meluap setiap kali berurusan dengan media partner ini. Mereka tidak menghormati kesepakatan dan seringkali mengabaikan masukan yang kami berikan.,5
"674844fa-709c-4d24-a4f6-320765c8b61e","1eca0bde-4a8f-4c83-8f2c-00fdf3afa085",ewfwHeAgl4ckVGnINSJNiHZYLPh2,Saya sungguh bahagia dengan hasil kerja sama bersama media partner ini. Mereka sangat inovatif dan membantu mengangkat merek kami ke tingkat yang lebih tinggi.,3
"590678ab-2e78-4b9f-adc8-2e95f2704f6a","18a80ac1-3009-4d79-b2e8-f43b7bd1bbc4",iUsn07i7eQPIQmq5YoRNfCj4WO02,Saya merasa takut dengan tidak konsistennya media partner ini. Sulit untuk memprediksi bagaimana proyek akan berkembang karena mereka seringkali mengubah strategi tanpa pemberitahuan.,3
"9c4fe52e-c1ad-47ba-807f-a3b7841ecb29",dfdf2dac-061b-4c06-9e66-1bf7481365e2,"4H8LzTrrO9ZwVNPSFB4mOR1VPl32",Saya benar-benar marah dengan media partner ini. Mereka tidak menghormati tenggat waktu dan tidak memberikan dukungan yang dijanjikan. Hal ini merugikan bisnis kami secara signifikan.,3
be64ac97-f075-4d03-8a07-99c10de9b0f2,"1ac91de0-f91f-40b1-9e8d-e075b633f541",DF0qe2AVtHbSuI4GSNq5BS5kVi63,Saya mencintai semangat kerja sama tim kami dengan media partner ini. Mereka tidak hanya bekerja sebagai mitra bisnis tetapi juga sebagai teman sejati.,2
"490cd232-191c-4c4b-9422-6b0c51b7e09f",bd224d0d-f249-4619-9db7-3134c50c3838,y4TOqSFLXtacjUX7MMsxH8XT0D03,Rasa marah mendalam muncul setiap kali berurusan dengan media partner ini. Mereka tidak bertanggung jawab dan seringkali menyalahkan pihak lain atas kesalahan mereka sendiri.,3
"4c797a95-5797-4c17-8fff-a37e54055214","4d611e3c-879b-4348-bb74-29d09f0216b7",y4TOqSFLXtacjUX7MMsxH8XT0D03,Keputusan untuk bekerja dengan media partner ini membawa kebahagiaan besar bagi tim kami. Mereka memberikan hasil yang luar biasa dan mendukung kami sepenuh hati.,5
"8ab75ad9-1c30-4dfa-91bf-9aecd46484d5","9a5af855-0e8a-418d-97db-0d41235f985d",V5FgAoGjkTMTDn7QeVLop58t1XR2,Kolaborasi dengan media partner ini benar-benar membuatku jatuh cinta. Mereka tidak hanya profesional tetapi juga ramah dan selalu siap membantu.,1
"70d8913b-f4b2-4ff3-9882-fd8bbeb967a5",fd5611ee-0ac8-4c12-8be1-fdcc6e51e593,y4TOqSFLXtacjUX7MMsxH8XT0D03,"Setiap kali harus berhadapan dengan media partner ini, saya merasa takut akan konsekuensi yang mungkin terjadi. Mereka tidak dapat diandalkan dan sering kali membuat keputusan impulsif.",4
b908f153-e652-420b-ab8d-d0f0eb77fb33,"6b0b5bf3-16f4-4405-b0ae-4313228ee31f",OFt6HkGGNcfL1TXYmOxbHr01cxT2,"Setiap kali harus berhadapan dengan media partner ini, saya merasa takut akan konsekuensi yang mungkin terjadi. Mereka tidak dapat diandalkan dan sering kali membuat keputusan impulsif.",5
b0d9a98d-0d4c-4da2-853a-f17ee8c4fbe4,"8257b5f3-1f4c-4c2c-82f0-b4230126fa24","4H8LzTrrO9ZwVNPSFB4mOR1VPl32",Kerja sama dengan media partner ini membuatku merasa sangat sedih. Mereka tidak responsif dan tampaknya tidak peduli dengan kebutuhan atau kekhawatiran kami.,5
"437271ef-3059-435b-ba92-66fd4d552887","2aa11fa7-b201-42cb-943e-a412fe619cd4",y4TOqSFLXtacjUX7MMsxH8XT0D03,Saya sangat bahagia dengan hasil kerja sama bersama media partner ini. Mereka tidak hanya profesional tetapi juga sangat responsif terhadap kebutuhan kami.,4
"9a74a46d-fbff-4e1f-a9a5-b2998ad8f908",c615506f-56b6-473d-a400-c08d9773873b,"4H8LzTrrO9ZwVNPSFB4mOR1VPl32",Rasanya seperti bekerja di bawah ancaman konstan saat bermitra dengan media partner ini. Mereka tidak memberikan kepastian dan seringkali mengubah kebijakan tanpa pemberitahuan sebelumnya.,3
"672b044f-0f67-4492-b66e-529b9224b34d",b314fec8-8f8d-4eba-9fc1-2f7d917af659,DF0qe2AVtHbSuI4GSNq5BS5kVi63,"Pengalaman bekerja dengan media partner ini membuat saya sangat marah. Mereka tidak menghargai ide-ide kami dan seringkali membuat keputusan tanpa konsultasi, merugikan proyek kami.",3
de15b515-f5a5-4401-b8d5-87e5bebd77da,"745c03c3-d49a-4c0a-a32c-986479a3e15a",gb6V5uGeZSSrGwWlpKS1d6BXv242,Saya mencintai energi positif yang dimiliki media partner ini. Mereka selalu membawa semangat positif ke setiap pertemuan dan benar-benar menjadi mitra yang menginspirasi.,1
a8d58d46-3c2d-4b67-90e8-41a90c0db1e9,"5da3b8dd-4c33-4a73-a564-625eefba1027",OFt6HkGGNcfL1TXYmOxbHr01cxT2,Kerja sama dengan media partner ini membuatku merasa sangat sedih. Mereka tidak responsif dan tampaknya tidak peduli dengan kebutuhan atau kekhawatiran kami.,5
b72f0b59-cfda-402e-9a44-a43e0ad3d04c,"4d611e3c-879b-4348-bb74-29d09f0216b7",XkmmZwdvYNbpFSW8bOKzn5FCGvA3,Pengalaman bekerja sama dengan media partner ini membuat saya merasa sangat sedih. Mereka tidak memenuhi komitmen mereka dan merugikan proyek kami secara signifikan.,3
"49d8e746-6049-4268-8712-3a4ecdbd1295","9a5af855-0e8a-418d-97db-0d41235f985d",f673otlb7QaO724971yL9oMVTcZ2,Kerja sama dengan media partner ini membuatku merasa sangat sedih. Mereka tidak responsif dan tampaknya tidak peduli dengan kebutuhan atau kekhawatiran kami.,3
